Employee Name,Job Position,Working,Interview quote,Date,Tags
Aviv Ben-Yosef,Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”",2021-08-16,"['#coaching', '#consulting']"
Anand Safi,Engineering Manager,Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”",2021-07-19,"['#coaching', '#frontend', '#full-stack', '#public-safety']"
Shawn Axsom,Senior Engineering Manager,Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”",2021-07-05,"['#backend', '#coaching', '#information-systems', '#web']"
Kevin Doyle,CTO,patientMpower,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”",2021-06-21,"['#full-stack', '#health-tech']"
Arnab Sen,Technical Delivery Manager,AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”",2021-05-10,"['#consulting', '#digital-marketing', '#e-commerce', '#product']"
Aviv Ben-Yosef,Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”",2021-08-16,"['#coaching', '#consulting']"
Anand Safi,Engineering Manager,Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”",2021-07-19,"['#coaching', '#frontend', '#full-stack', '#public-safety']"
Shawn Axsom,Senior Engineering Manager,Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”",2021-07-05,"['#backend', '#coaching', '#information-systems', '#web']"
Kevin Doyle,CTO,patientMpower,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”",2021-06-21,"['#full-stack', '#health-tech']"
Arnab Sen,Technical Delivery Manager,AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”",2021-05-10,"['#consulting', '#digital-marketing', '#e-commerce', '#product']"
Aviv Ben-Yosef,Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”",2021-08-16,"['#coaching', '#consulting']"
Anand Safi,Engineering Manager,Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”",2021-07-19,"['#coaching', '#frontend', '#full-stack', '#public-safety']"
Shawn Axsom,Senior Engineering Manager,Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”",2021-07-05,"['#backend', '#coaching', '#information-systems', '#web']"
Kevin Doyle,CTO,patientMpower,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”",2021-06-21,"['#full-stack', '#health-tech']"
Arnab Sen,Technical Delivery Manager,AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”",2021-05-10,"['#consulting', '#digital-marketing', '#e-commerce', '#product']"
Aviv Ben-Yosef,Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”",2021-08-16,"['#coaching', '#consulting']"
Anand Safi,Engineering Manager,Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”",2021-07-19,"['#coaching', '#frontend', '#full-stack', '#public-safety']"
Shawn Axsom,Senior Engineering Manager,Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”",2021-07-05,"['#backend', '#coaching', '#information-systems', '#web']"
Kevin Doyle,CTO,patientMpower,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”",2021-06-21,"['#full-stack', '#health-tech']"
Arnab Sen,Technical Delivery Manager,AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”",2021-05-10,"['#consulting', '#digital-marketing', '#e-commerce', '#product']"
Aviv Ben-Yosef,Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”",2021-08-16,"['#coaching', '#consulting']"
Anand Safi,Engineering Manager,Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”",2021-07-19,"['#coaching', '#frontend', '#full-stack', '#public-safety']"
Shawn Axsom,Senior Engineering Manager,Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”",2021-07-05,"['#backend', '#coaching', '#information-systems', '#web']"
Kevin Doyle,CTO,patientMpower,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”",2021-06-21,"['#full-stack', '#health-tech']"
Arnab Sen,Technical Delivery Manager,AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”",2021-05-10,"['#consulting', '#digital-marketing', '#e-commerce', '#product']"
